Nome do Ativo;Data;Dividend Yield;Taxa Indicativa
NTN-B 760199 20350515;09/01/2020;;0,0329
NTN-B 760199 20350515;10/01/2020;;0,0328
NTN-B 760199 20350515;13/01/2020;;0,0333
NTN-B 760199 20350515;14/01/2020;;0,0329
NTN-B 760199 20350515;15/01/2020;;0,0329
NTN-B 760199 20350515;16/01/2020;;0,0333
NTN-B 760199 20350515;17/01/2020;;0,0332
NTN-B 760199 20350515;20/01/2020;;0,0337
NTN-B 760199 20350515;21/01/2020;;0,0337
NTN-B 760199 20350515;22/01/2020;;0,0332
NTN-B 760199 20350515;23/01/2020;;0,0332
NTN-B 760199 20350515;24/01/2020;;0,033
NTN-B 760199 20350515;27/01/2020;;0,0331
NTN-B 760199 20350515;28/01/2020;;0,0328
NTN-B 760199 20350515;29/01/2020;;0,0324
NTN-B 760199 20350515;30/01/2020;;0,0325
NTN-B 760199 20350515;31/01/2020;;0,0327
NTN-B 760199 20350515;03/02/2020;;0,0325
NTN-B 760199 20350515;04/02/2020;;0,0323
NTN-B 760199 20350515;05/02/2020;;0,0318
NTN-B 760199 20350515;06/02/2020;;0,0321
NTN-B 760199 20350515;07/02/2020;;0,0323
NTN-B 760199 20350515;10/02/2020;;0,0319
NTN-B 760199 20350515;11/02/2020;;0,0316
NTN-B 760199 20350515;12/02/2020;;0,0312
NTN-B 760199 20350515;13/02/2020;;0,0314
NTN-B 760199 20350515;14/02/2020;;0,0307
NTN-B 760199 20350515;17/02/2020;;0,031
NTN-B 760199 20350515;18/02/2020;;0,0311
NTN-B 760199 20350515;19/02/2020;;0,0307
NTN-B 760199 20350515;20/02/2020;;0,0309
NTN-B 760199 20350515;21/02/2020;;0,0314
NTN-B 760199 20350515;26/02/2020;;0,0323
NTN-B 760199 20350515;27/02/2020;;0,0324
NTN-B 760199 20350515;28/02/2020;;0,0323
NTN-B 760199 20350515;02/03/2020;;0,0316
NTN-B 760199 20350515;03/03/2020;;0,0315
NTN-B 760199 20350515;04/03/2020;;0,0313
NTN-B 760199 20350515;05/03/2020;;0,0322
NTN-B 760199 20350515;06/03/2020;;0,0325
NTN-B 760199 20350515;09/03/2020;;0,0353
NTN-B 760199 20350515;10/03/2020;;0,0352
NTN-B 760199 20350515;11/03/2020;;0,0398
NTN-B 760199 20350515;12/03/2020;;0,0453
NTN-B 760199 20350515;13/03/2020;;0,0385
NTN-B 760199 20350515;16/03/2020;;0,0398
NTN-B 760199 20350515;17/03/2020;;0,039
NTN-B 760199 20350515;18/03/2020;;0,0448
NTN-B 760199 20350515;19/03/2020;;0,0454
NTN-B 760199 20350515;20/03/2020;;0,046
NTN-B 760199 20350515;23/03/2020;;0,0491
NTN-B 760199 20350515;24/03/2020;;0,0469
NTN-B 760199 20350515;25/03/2020;;0,0443
NTN-B 760199 20350515;26/03/2020;;0,0426
NTN-B 760199 20350515;27/03/2020;;0,0427
NTN-B 760199 20350515;30/03/2020;;0,0426
NTN-B 760199 20350515;31/03/2020;;0,043
NTN-B 760199 20350515;01/04/2020;;0,044
NTN-B 760199 20350515;02/04/2020;;0,0444
NTN-B 760199 20350515;03/04/2020;;0,0458
NTN-B 760199 20350515;06/04/2020;;0,0452
NTN-B 760199 20350515;07/04/2020;;0,0447
NTN-B 760199 20350515;08/04/2020;;0,044
NTN-B 760199 20350515;09/04/2020;;0,0432
NTN-B 760199 20350515;13/04/2020;;0,0431
NTN-B 760199 20350515;14/04/2020;;0,0422
NTN-B 760199 20350515;15/04/2020;;0,0415
NTN-B 760199 20350515;16/04/2020;;0,0402
NTN-B 760199 20350515;17/04/2020;;0,0395
NTN-B 760199 20350515;20/04/2020;;0,039
NTN-B 760199 20350515;22/04/2020;;0,0385
NTN-B 760199 20350515;23/04/2020;;0,0401
NTN-B 760199 20350515;24/04/2020;;0,0457
NTN-B 760199 20350515;27/04/2020;;0,0451
NTN-B 760199 20350515;28/04/2020;;0,0415
NTN-B 760199 20350515;29/04/2020;;0,0408
NTN-B 760199 20350515;30/04/2020;;0,0413
NTN-B 760199 20350515;04/05/2020;;0,0415
NTN-B 760199 20350515;05/05/2020;;0,0414
NTN-B 760199 20350515;06/05/2020;;0,0415
NTN-B 760199 20350515;07/05/2020;;0,0428
NTN-B 760199 20350515;08/05/2020;;0,0424
NTN-B 760199 20350515;11/05/2020;;0,0429
NTN-B 760199 20350515;12/05/2020;;0,0445
NTN-B 760199 20350515;13/05/2020;;0,0451
NTN-B 760199 20350515;14/05/2020;;0,0442
NTN-B 760199 20350515;15/05/2020;;0,0437
NTN-B 760199 20350515;18/05/2020;;0,0427
NTN-B 760199 20350515;19/05/2020;;0,0423
NTN-B 760199 20350515;20/05/2020;;0,0417
NTN-B 760199 20350515;21/05/2020;;0,0408
NTN-B 760199 20350515;22/05/2020;;0,0409
NTN-B 760199 20350515;25/05/2020;;0,0392
NTN-B 760199 20350515;26/05/2020;;0,0396
NTN-B 760199 20350515;27/05/2020;;0,0396
NTN-B 760199 20350515;28/05/2020;;0,0399
NTN-B 760199 20350515;29/05/2020;;0,0398
NTN-B 760199 20350515;01/06/2020;;0,0399
NTN-B 760199 20350515;02/06/2020;;0,039
NTN-B 760199 20350515;03/06/2020;;0,0384
NTN-B 760199 20350515;04/06/2020;;0,0384
NTN-B 760199 20350515;05/06/2020;;0,0383
NTN-B 760199 20350515;08/06/2020;;0,0381
NTN-B 760199 20350515;09/06/2020;;0,0383
NTN-B 760199 20350515;10/06/2020;;0,0379
NTN-B 760199 20350515;12/06/2020;;0,0377
NTN-B 760199 20350515;15/06/2020;;0,0376
NTN-B 760199 20350515;16/06/2020;;0,0378
NTN-B 760199 20350515;17/06/2020;;0,0373
NTN-B 760199 20350515;18/06/2020;;0,038
NTN-B 760199 20350515;19/06/2020;;0,0381
NTN-B 760199 20350515;22/06/2020;;0,0389
NTN-B 760199 20350515;23/06/2020;;0,0384
NTN-B 760199 20350515;24/06/2020;;0,0389
NTN-B 760199 20350515;25/06/2020;;0,0379
NTN-B 760199 20350515;26/06/2020;;0,0383
NTN-B 760199 20350515;29/06/2020;;0,0377
NTN-B 760199 20350515;30/06/2020;;0,0375
NTN-B 760199 20350515;01/07/2020;;0,0365
NTN-B 760199 20350515;02/07/2020;;0,0365
NTN-B 760199 20350515;03/07/2020;;0,0358
NTN-B 760199 20350515;06/07/2020;;0,0357
NTN-B 760199 20350515;07/07/2020;;0,0361
NTN-B 760199 20350515;08/07/2020;;0,0359
NTN-B 760199 20350515;09/07/2020;;0,0351
NTN-B 760199 20350515;10/07/2020;;0,0344
NTN-B 760199 20350515;13/07/2020;;0,0347
NTN-B 760199 20350515;14/07/2020;;0,0348
NTN-B 760199 20350515;15/07/2020;;0,0347
NTN-B 760199 20350515;16/07/2020;;0,0344
NTN-B 760199 20350515;17/07/2020;;0,0336
NTN-B 760199 20350515;20/07/2020;;0,0337
NTN-B 760199 20350515;21/07/2020;;0,0336
NTN-B 760199 20350515;22/07/2020;;0,0333
NTN-B 760199 20350515;23/07/2020;;0,0334
NTN-B 760199 20350515;24/07/2020;;0,0332
NTN-B 760199 20350515;27/07/2020;;0,0325
NTN-B 760199 20350515;28/07/2020;;0,0328
NTN-B 760199 20350515;29/07/2020;;0,0328
NTN-B 760199 20350515;30/07/2020;;0,0317
NTN-B 760199 20350515;31/07/2020;;0,0316
NTN-B 760199 20350515;03/08/2020;;0,0314
NTN-B 760199 20350515;04/08/2020;;0,0318
NTN-B 760199 20350515;05/08/2020;;0,0324
NTN-B 760199 20350515;06/08/2020;;0,032
NTN-B 760199 20350515;07/08/2020;;0,0324
NTN-B 760199 20350515;10/08/2020;;0,0332
NTN-B 760199 20350515;11/08/2020;;0,0337
NTN-B 760199 20350515;12/08/2020;;0,0344
NTN-B 760199 20350515;13/08/2020;;0,0351
